rok;pohlavi;vek_kat;Kraj_ID;zdg;druh_prijeti;operace;umrti;pocet_hosp
1994;1;66000004;CZ099;J10;2;0;0;6
1994;1;66000004;CZ099;J11;1;0;0;181
1994;1;66000004;CZ099;J11;3;2;0;1
1994;1;66005009;CZ099;J10;1;1;0;1
1994;1;66005009;CZ099;J11;2;0;0;18
1994;1;66010014;CZ099;J10;2;0;0;3
1994;1;66010014;CZ099;J11;2;0;0;19
1994;1;66000004;CZ099;J10;3;0;0;6
1994;1;66000004;CZ099;J11;1;0;1;1
1994;1;66005009;CZ099;J10;1;0;0;16
1994;1;66005009;CZ099;J10;3;0;0;6
1994;1;66005009;CZ099;J11;3;0;0;80
1994;1;66010014;CZ099;J10;3;0;0;6
1994;1;66010014;CZ099;J11;1;1;0;1
1994;1;66010014;CZ099;J11;2;2;0;1
1994;1;66015019;CZ099;J10;1;0;0;1
1994;1;66015019;CZ099;J11;1;0;0;29
1994;1;66015019;CZ099;J11;2;0;0;20
1994;1;66015019;CZ099;J11;3;0;0;23
2013;2;66070074;CZ041;J10;1;0;0;1
2013;2;66070074;CZ041;J10;2;0;0;1
1994;1;66020024;CZ099;J10;1;0;0;2
1994;1;66020024;CZ099;J11;1;0;0;21
2013;2;66070074;CZ042;J11;3;0;0;1
2013;2;66070074;CZ063;J10;1;0;0;1
2013;2;66070074;CZ063;J11;1;0;0;1
2007;1;66045049;CZ031;J11;3;0;0;1
2013;2;66070074;CZ064;J10;1;0;0;6
2007;1;66045049;CZ042;J11;1;0;0;2
1994;1;66000004;CZ099;J10;1;0;0;21
1994;1;66000004;CZ099;J11;2;0;0;34
1994;1;66000004;CZ099;J11;2;2;0;1
1994;1;66000004;CZ099;J11;3;0;0;158
2020;2;66060064;CZ064;J10;1;0;0;2
2013;2;66070074;CZ080;J10;2;0;0;1
1994;1;66005009;CZ099;J10;2;0;0;3
1994;1;66005009;CZ099;J11;1;0;0;138
2013;2;66070074;CZ051;J10;1;0;0;3
2020;2;66060064;CZ020;J10;1;0;0;1
