uzemni_celek;sezona;demografie;pocet_vakcinovanych;proockovanost
Benešov;2010-2011;14727;1552;0.10538466761730156
Benešov;2011-2012;15455;1789;0.11575541895826594
Benešov;2012-2013;16075;1862;0.11583203732503888
Benešov;2013-2014;16766;2181;0.13008469521650962
Benešov;2014-2015;17526;2240;0.12781011069268516
Benešov;2015-2016;18126;2505;0.13819927176431646
Benešov;2016-2017;18737;2859;0.15258579281635268
Benešov;2017-2018;19339;3021;0.1562128341692952
Benešov;2018-2019;19887;3335;0.1676974908231508
Benešov;2019-2020;20444;3882;0.18988456270788495
Benešov;2020-2021;20742;4114;0.19834152926429466
Benešov;2021-2022;20913;4716;0.22550566633194663
Benešov;2022-2023;21431;4627;0.21590219775092157
Benešov;2023-2024;21912;5162;0.23557867834976268
Benešov;2024-2025;22196;4965;0.22368895296449812
Beroun;2010-2011;12991;1712;0.1317835424524671
Beroun;2011-2012;13631;1703;0.12493580808451324
Beroun;2012-2013;14317;1914;0.1336872249772997
Beroun;2013-2014;14781;2294;0.15519924227048237
Beroun;2014-2015;15257;2267;0.1485875335911385
Beroun;2015-2016;15738;2401;0.15256068115389504
Beroun;2016-2017;16239;2654;0.16343370897222737
Beroun;2017-2018;16676;2935;0.17600143919405134
Beroun;2018-2019;17067;3190;0.18691041190601745
Beroun;2019-2020;17495;3560;0.20348671048871106
Beroun;2020-2021;17846;3748;0.21001905188837836
Beroun;2021-2022;18041;4076;0.22592982650629123
Beroun;2022-2023;18382;4109;0.22353389185072353
Beroun;2023-2024;18617;4752;0.25525057742923135
Beroun;2024-2025;18798;4646;0.24715395254814343
Blansko;2010-2011;17348;2067;0.11914918146183998
Blansko;2011-2012;18043;2120;0.11749709028432079
Blansko;2012-2013;18686;2303;0.12324735095793642
Blansko;2013-2014;19306;2754;0.1426499533823682
Blansko;2014-2015;19876;2856;0.14369088347756087
Blansko;2015-2016;20402;2994;0.14675031859621607
Blansko;2016-2017;20942;3358;0.1603476267787222
Blansko;2017-2018;21483;3695;0.17199646231904298
Blansko;2018-2019;21934;3966;0.18081517279110057
Blansko;2019-2020;22408;4589;0.20479293109603713
Blansko;2020-2021;22701;5137;0.22628959076692656
Blansko;2021-2022;22883;5226;0.22837914609098459
Blansko;2022-2023;23300;4960;0.2128755364806867
Blansko;2023-2024;23666;5550;0.2345136482717823
Blansko;2024-2025;23905;5385;0.2252666806107509
