uzemni_celek;sezona;demografie;pocet_vakcinovanych;proockovanost
Benešov;2010-2011;94652;1963;0.02073912859738833
Benešov;2011-2012;95445;2196;0.023008015087223006
Benešov;2012-2013;95883;2291;0.023893703784821085
Benešov;2013-2014;96273;2647;0.027494728532402646
Benešov;2014-2015;96718;2722;0.028143675427531586
Benešov;2015-2016;97085;3010;0.031003759592110006
Benešov;2016-2017;97452;3392;0.03480687928416041
Benešov;2017-2018;97972;3518;0.03590821867472339
Benešov;2018-2019;98708;3851;0.039014061676865094
Benešov;2019-2020;99414;4402;0.044279477739553784
Benešov;2020-2021;99742;4776;0.04788353953199254
Benešov;2021-2022;99323;5472;0.0550929794710188
Benešov;2022-2023;102228;5540;0.05419258911452831
Benešov;2023-2024;103359;6847;0.06624483596010024
Benešov;2024-2025;103908;6710;0.06457635600723717
Beroun;2010-2011;85081;2023;0.023777341592129853
Beroun;2011-2012;86056;2005;0.023298782188342474
Beroun;2012-2013;87184;2232;0.0256010277115067
Beroun;2013-2014;87964;2657;0.030205538629439317
Beroun;2014-2015;89172;2585;0.028988920288879918
Beroun;2015-2016;90168;2754;0.030542986425339366
Beroun;2016-2017;91230;3040;0.03332237202674559
Beroun;2017-2018;92353;3313;0.03587322555845506
Beroun;2018-2019;93726;3610;0.03851652689755244
Beroun;2019-2020;95058;4043;0.04253192787561278
Beroun;2020-2021;96403;4262;0.04421024241984171
Beroun;2021-2022;96624;4755;0.04921137605563835
Beroun;2022-2023;100517;4961;0.04935483550046261
Beroun;2023-2024;101748;6551;0.06438455792742855
Beroun;2024-2025;102562;6715;0.06547259218813986
Blansko;2010-2011;106884;2707;0.025326522210995097
Blansko;2011-2012;106847;2750;0.025737737138150814
Blansko;2012-2013;107354;2967;0.02763753562978557
Blansko;2013-2014;107746;3471;0.032214652980157035
Blansko;2014-2015;107925;3481;0.03225388000926569
Blansko;2015-2016;108126;3684;0.0340713611897231
Blansko;2016-2017;108248;4128;0.0381346537580371
Blansko;2017-2018;108545;4456;0.04105209820811645
Blansko;2018-2019;108801;4752;0.04367606915377616
Blansko;2019-2020;109136;5378;0.049277965107755464
Blansko;2020-2021;109104;6012;0.05510338759348878
Blansko;2021-2022;107912;6052;0.05608273407962043
Blansko;2022-2023;110046;5840;0.05306871671846319
Blansko;2023-2024;111025;7166;0.06454402161675299
Blansko;2024-2025;111267;7020;0.06309148264984227
