Kraj;Věková kategorie;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
ČR;Celá populace;116;130;43;44;39;98;123;29;27;51;19;55;15;55;53;94;74;85;57;188;39;128;120;155;309;230;135;16;154;251
ČR;0–19;1;2;1;;;2;1;1;;;;1;;1;;;1;1;;2;1;2;2;1;3;3;1;;2;3
ČR;20–44;8;6;3;1;2;5;2;1;1;;1;;;4;4;21;4;6;1;9;;3;11;1;7;10;2;;5;5
ČR;45–64;10;7;1;5;3;7;11;1;1;6;1;8;2;6;6;17;14;21;3;49;4;18;37;10;47;50;16;3;13;25
ČR;65–74;16;21;7;6;6;11;12;5;4;3;2;7;3;7;4;6;10;14;7;39;3;17;22;30;75;62;39;2;25;37
ČR;75–84;50;36;17;17;13;36;37;7;10;18;8;20;5;21;18;20;15;21;24;45;7;42;19;43;102;64;32;6;51;89
ČR;85+;31;58;14;15;15;37;60;14;11;24;7;19;5;16;21;30;30;22;22;44;24;46;29;70;75;41;45;5;58;92
Hlavní město Praha;Celá populace;4;10;5;;3;7;5;4;4;7;;2;;2;1;4;;8;2;23;1;8;13;9;30;22;13;1;29;31
Hlavní město Praha;0–19;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;
Hlavní město Praha;20–44;;;;;1;1;1;;1;;;;;1;;2;;;;1;;1;4;;;;;;;1
Hlavní město Praha;45–64;1;;;;1;;1;;;1;;1;;;1;1;;1;;10;1;1;7;;3;8;;1;2;1
Hlavní město Praha;65–74;;3;1;;1;;;1;;;;;;;;1;;3;;5;;;2;1;6;6;4;;2;5
Hlavní město Praha;75–84;1;3;3;;;4;;;2;3;;1;;1;;;;2;;4;;2;;1;8;4;3;;10;10
Hlavní město Praha;85+;2;4;1;;;2;3;2;1;3;;;;;;;;2;2;3;;4;;7;12;4;6;;15;14
Jihočeský kraj;Celá populace;6;6;3;2;5;5;5;1;1;2;;1;;2;2;10;6;5;8;20;1;20;15;2;30;22;22;;12;16
