Kraj;Věková kategorie;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
ČR;Celá populace;1,12;1,26;0,42;0,43;0,38;0,95;1,20;0,28;0,26;0,50;0,19;0,54;0,15;0,53;0,51;0,90;0,70;0,81;0,54;1,79;0,37;1,21;1,14;1,46;2,91;2,16;1,26;0,15;1,43;2,31
ČR;0–19;0,03;0,07;0,04;;;0,08;0,04;0,04;;;;0,05;;0,05;;;0,05;0,05;;0,10;0,05;0,10;0,10;0,05;0,14;0,14;0,05;;0,09;0,13
ČR;20–44;0,22;0,16;0,08;0,03;0,05;0,13;0,05;0,03;0,03;;0,03;;;0,10;0,10;0,53;0,10;0,15;0,03;0,23;;0,08;0,29;0,03;0,19;0,28;0,06;;0,15;0,15
ČR;45–64;0,41;0,28;0,04;0,20;0,12;0,26;0,41;0,04;0,04;0,21;0,04;0,28;0,07;0,21;0,21;0,59;0,49;0,73;0,11;1,75;0,14;0,65;1,34;0,36;1,70;1,78;0,56;0,11;0,44;0,83
ČR;65–74;1,80;2,34;0,78;0,67;0,68;1,27;1,41;0,60;0,49;0,37;0,25;0,87;0,37;0,85;0,47;0,68;1,09;1,45;0,68;3,60;0,27;1,45;1,82;2,42;5,94;4,86;3,03;0,16;1,96;2,94
ČR;75–84;13,73;9,86;4,51;4,32;3,16;8,42;8,29;1,50;2,04;3,52;1,51;3,71;0,92;3,83;3,27;3,64;2,75;3,86;4,44;8,33;1,29;7,63;3,38;7,45;17,03;10,19;4,91;0,89;7,08;11,66
ČR;85+;31,63;56,37;13,01;13,31;12,76;30,40;49,26;12,71;10,77;25,49;7,62;19,47;4,66;13,45;16,05;21,21;19,97;13,97;13,35;25,66;13,45;24,83;15,10;35,31;37,08;19,98;21,95;2,50;29,19;45,63
Hlavní město Praha;Celá populace;0,33;0,82;0,41;;0,25;0,59;0,42;0,34;0,35;0,60;;0,17;;0,17;0,08;0,32;;0,65;0,16;1,85;0,08;0,63;1,02;0,70;2,31;1,67;0,98;0,08;2,17;2,26
Hlavní město Praha;0–19;;;;;;;;0,45;;;;;;;;;;;;;;;;;0,40;;;;;
Hlavní město Praha;20–44;;;;;0,24;0,24;0,24;;0,24;;;;;0,21;;0,40;;;;0,21;;0,21;0,82;;;;;;;0,21
Hlavní město Praha;45–64;0,32;;;;0,31;;0,30;;;0,29;;0,29;;;0,30;0,30;;0,30;;3,15;0,32;0,32;2,24;;0,95;2,49;;0,31;0,59;0,28
Hlavní město Praha;65–74;;2,42;0,82;;0,85;;;0,96;;;;;;;;0,95;;2,55;;3,80;;;1,39;0,68;4,08;4,10;2,76;;1,44;3,68
Hlavní město Praha;75–84;1,86;5,58;5,43;;;6,43;;;2,89;4,18;;1,34;;1,35;;;;2,92;;6,08;;3,10;;1,50;11,45;5,37;3,81;;11,28;10,69
Hlavní město Praha;85+;13,40;25,46;6,07;;;10,72;16,27;11,74;6,31;20,62;;;;;;;;8,47;8,16;11,89;;14,95;;24,95;42,47;14,22;21,67;;56,38;52,25
Jihočeský kraj;Celá populace;0,96;0,96;0,48;0,32;0,80;0,80;0,80;0,16;0,16;0,32;;0,16;;0,32;0,32;1,57;0,94;0,79;1,26;3,14;0,16;3,14;2,35;0,31;4,68;3,42;3,42;;1,85;2,45
Jihočeský kraj;0–19;;;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;0,72
Jihočeský kraj;20–44;;;;;;;;;;;;;;;;0,43;;;;0,88;;0,45;1,36;;;;;;;
Jihočeský kraj;45–64;;;;;0,65;;;;;;;0,58;;;;0,56;1,13;0,57;;3,47;;1,76;1,17;;2,93;1,16;0,57;;0,56;0,55
Jihočeský kraj;65–74;3,88;3,83;;1,90;1,91;3,84;1,93;;1,97;1,99;;;;1,97;;3,73;1,81;;;7,63;;2,81;5,43;;11,56;8,83;8,67;;2,46;2,48
Jihočeský kraj;75–84;9,13;9,14;;4,28;12,40;7,96;11,47;;;3,31;;;;3,04;;2,98;5,93;2,95;11,81;11,81;;14,62;2,88;5,64;19,10;20,96;7,60;;11,34;14,97
Jihočeský kraj;85+;33,93;32,35;46,89;;;13,95;13,89;15,49;;;;;;;26,00;60,64;11,44;32,77;41,77;29,96;9,51;82,15;43,62;;72,52;39,30;78,45;;31,94;39,49
Jihomoravský kraj;Celá populace;2,01;1,05;0,18;0,35;0,35;0,88;0,44;0,09;0,18;0,45;0,18;0,44;0,18;0,88;0,87;0,52;0,43;0,60;0,60;2,05;0,34;0,43;0,59;1,44;2,03;1,43;1,09;0,08;0,83;2,86
Jihomoravský kraj;0–19;;0,32;;;;;;;;;;;;;;;;;;;0,44;;;;0,42;0,41;;;;
Jihomoravský kraj;20–44;0,25;0,25;;;;;;;;;;;;0,24;;0,46;;;;0,23;;;0,24;;0,24;0,25;0,25;;;
Jihomoravský kraj;45–64;1,14;0,37;;;;;0,34;;;0,33;0,33;0,65;;0,65;0,32;0,32;0,32;0,32;;2,94;;;0,99;0,33;0,98;0,32;0,64;;;0,91
Jihomoravský kraj;65–74;5,96;1,97;0,99;;2,03;;1,05;;;;;1,11;1,09;1,07;;;;0,92;1,73;1,65;;1,55;;0,74;2,19;3,61;2,15;;1,44;5,79
Jihomoravský kraj;75–84;11,62;6,96;2,25;2,16;2,08;8,00;;;1,76;1,68;;1,58;1,57;4,72;6,29;3,16;3,18;7,96;6,40;9,61;;;1,54;10,46;12,94;5,49;3,97;1,28;6,04;14,96
Jihomoravský kraj;85+;63,92;30,58;;20,97;6,73;39,16;19,63;7,19;7,76;25,32;8,68;8,14;;20,36;31,24;5,78;10,93;;4,93;28,24;13,50;12,99;8,39;32,75;28,27;19,98;16,02;;12,41;44,95
Karlovarský kraj;Celá populace;0,98;0,33;0,33;;;;;0,33;;0,33;;0,33;;0,33;;0,32;;0,99;0,33;1,99;;1,01;0,34;1,35;3,05;4,07;1,02;;;0,68
Karlovarský kraj;20–44;;;0,88;;;;;;;;;;;;;;;;;1,84;;;;1,00;1,02;1,05;;;;
Karlovarský kraj;45–64;1,40;;;;;;;;;;;;;;;;;3,49;;1,19;;1,22;1,23;;1,23;1,22;1,21;;;
Karlovarský kraj;65–74;;;;;;;;;;4,40;;4,28;;;;;;;;;;;;8,40;5,47;5,38;5,31;;;
Karlovarský kraj;75–84;26,71;;;;;;;;;;;;;7,31;;7,27;;;7,02;;;13,05;;;17,78;28,60;;;;9,74
Karlovarský kraj;85+;;62,93;;;;;;49,50;;;;;;;;;;;;76,05;;;;;41,92;61,51;;;;
Kraj Vysočina;Celá populace;2,29;2,48;0,76;0,38;0,38;1,72;0,77;0,39;;0,19;;2,35;0,20;0,98;0,97;1,55;0,97;0,39;0,78;1,76;0,78;1,96;1,57;3,15;4,13;3,93;2,35;0,40;1,95;3,67
Kraj Vysočina;0–19;;;;;;;;;;;;0,88;;;;;;;;;;;;;;;;;0,93;
Kraj Vysočina;20–44;;;;;;;;0,52;;;;;;;;;;;;0,55;;;;;;;;;;
Kraj Vysočina;45–64;1,71;;;0,82;;;;;;;;0,74;;1,47;0,73;1,45;;;0,73;;;0,74;1,48;0,74;1,47;2,18;0,72;;0,70;0,69
Kraj Vysočina;65–74;2,34;;;2,29;;2,30;;;;;;2,40;2,38;;2,32;2,26;4,40;;2,01;3,85;;1,80;1,74;8,48;6,65;14,79;3,24;;4,82;1,62
Kraj Vysočina;75–84;26,41;26,41;5,17;;9,80;19,01;4,58;4,37;;;;7,58;;7,30;3,58;7,10;;3,53;3,52;17,51;10,43;17,17;10,14;3,33;22,67;9,38;18,24;;5,59;21,32
Kraj Vysočina;85+;75,08;145,16;51,68;;;61,29;46,03;;;20,52;;140,42;;16,92;31,29;43,59;41,14;13,11;12,46;11,89;11,28;32,29;20,67;89,36;77,04;47,46;28,53;19,22;28,76;84,44
Královéhradecký kraj;Celá populace;0,72;1,26;0,54;0,54;0,18;1,09;1,81;0,54;0,18;0,37;;0,18;;1,09;0,18;1,26;;0,90;0,36;1,27;;1,45;;1,63;6,17;2,90;1,27;;2,35;2,34
Královéhradecký kraj;0–19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,87;
Královéhradecký kraj;20–44;0,51;;;;;;;;;;;;;;;0,99;;0,51;0,51;;;;;;;;;;0,61;
Královéhradecký kraj;45–64;;0,76;;;;1,41;1,38;;;0,66;;;;0,66;;0,66;;0,66;;2,72;;2,07;;0,70;2,08;6,18;;;0,66;1,30
Královéhradecký kraj;65–74;;;;;;2,06;2,09;2,12;;;;2,24;;;;2,07;;1,89;1,77;;;;;2,89;11,36;7,03;;;2,82;2,87
Královéhradecký kraj;75–84;14,33;4,81;9,38;9,05;4,36;8,39;4,02;7,68;3,63;3,46;;;;6,34;3,15;6,31;;;;3,26;;9,74;;9,39;36,18;5,73;2,74;;12,34;11,60
Královéhradecký kraj;85+;;78,02;14,95;14,37;;13,47;81,14;;;;;;;44,59;;12,51;;22,27;;20,37;;18,54;;25,79;92,87;;49,83;;26,10;34,29
Liberecký kraj;Celá populace;0,93;2,10;0,23;0,93;0,93;0,47;1,40;;0,23;0,47;0,23;;;0,46;;0,68;2,05;0,23;0,91;2,74;0,23;3,19;;0,68;3,85;0,68;1,13;0,23;1,12;4,44
Liberecký kraj;0–19;;;;;;;;;;;;;;;;;;;;1,12;;;;;1,09;1,08;;;;
Liberecký kraj;20–44;;;;;;;;;;;0,64;;;;;0,61;;;;;;;;;;;;;0,73;0,74
Liberecký kraj;45–64;;;0,97;;;0,90;0,88;;;;;;;;;0,83;0,83;;;0,86;0,87;;;0,89;0,89;;0,86;;;2,41
Liberecký kraj;65–74;2,81;8,39;;;;;;;;;;;;3,13;;;;;;6,62;;7,93;;;3,59;1,77;3,53;1,78;;7,44
Liberecký kraj;75–84;7,31;7,25;;13,14;6,20;5,88;11,25;;5,06;4,86;;;;4,65;;;9,51;;9,73;9,78;;33,23;;;42,86;4,05;7,74;;10,12;21,83
