Kraj_ID,Kraj_Název,sezona,pocet_vakcinovanych,demografie,proockovanost_procenta
CZ064,Jihomoravský kraj,2010-2011,28234,186690.0,15.123466709518455
CZ064,Jihomoravský kraj,2011-2012,30174,195117.0,15.464567413398115
CZ064,Jihomoravský kraj,2012-2013,31469,201741.0,15.598713201580244
CZ064,Jihomoravský kraj,2013-2014,37477,207776.0,18.037213152625906
CZ064,Jihomoravský kraj,2014-2015,37448,213228.0,17.56242144558876
CZ064,Jihomoravský kraj,2015-2016,39495,218271.0,18.09447888175708
CZ064,Jihomoravský kraj,2016-2017,42782,224044.0,19.095356269304244
CZ064,Jihomoravský kraj,2017-2018,46757,229228.0,20.39759540719284
CZ064,Jihomoravský kraj,2018-2019,50395,233816.0,21.55327265884285
CZ064,Jihomoravský kraj,2019-2020,56085,238620.0,23.50389741010812
CZ064,Jihomoravský kraj,2020-2021,60631,241897.0,25.064800307568923
CZ064,Jihomoravský kraj,2021-2022,61721,243587.0,25.338380127018272
CZ064,Jihomoravský kraj,2022-2023,60313,247642.0,24.354915563595835
CZ064,Jihomoravský kraj,2023-2024,64162,250908.0,25.57192277647584
CZ064,Jihomoravský kraj,2024-2025,62429,253648.0,24.612455055825396
CZ031,Jihočeský kraj,2010-2011,14038,99001.0,14.179654750962111
CZ031,Jihočeský kraj,2011-2012,15524,103144.0,15.050802761188242
CZ031,Jihočeský kraj,2012-2013,16323,107511.0,15.182632474816529
CZ031,Jihočeský kraj,2013-2014,18733,111254.0,16.838046272493575
CZ031,Jihočeský kraj,2014-2015,18909,114731.0,16.481160279261925
CZ031,Jihočeský kraj,2015-2016,20276,117998.0,17.183342090543906
CZ031,Jihočeský kraj,2016-2017,21955,121829.0,18.021160807361134
CZ031,Jihočeský kraj,2017-2018,23114,125171.0,18.465938596000672
CZ031,Jihočeský kraj,2018-2019,25996,128590.0,20.216190994634108
CZ031,Jihočeský kraj,2019-2020,28687,131832.0,21.760270647490746
CZ031,Jihočeský kraj,2020-2021,31073,134019.0,23.18551847126154
CZ031,Jihočeský kraj,2021-2022,33119,135687.0,24.408381053453905
CZ031,Jihočeský kraj,2022-2023,33528,138659.0,24.180183038966096
CZ031,Jihočeský kraj,2023-2024,36124,141025.0,25.615316433256513
CZ031,Jihočeský kraj,2024-2025,34563,142439.0,24.265124018000687
CZ041,Karlovarský kraj,2010-2011,5791,44261.0,13.08375319129708
CZ041,Karlovarský kraj,2011-2012,5985,46155.0,12.967175820604485
CZ041,Karlovarský kraj,2012-2013,6511,48400.0,13.452479338842977
CZ041,Karlovarský kraj,2013-2014,7574,50442.0,15.015265056897032
CZ041,Karlovarský kraj,2014-2015,7893,52285.0,15.096107870326097
CZ041,Karlovarský kraj,2015-2016,8635,54097.0,15.962068136865259
CZ041,Karlovarský kraj,2016-2017,9596,56076.0,17.112490191882447
CZ041,Karlovarský kraj,2017-2018,10301,57467.0,17.92507004019698
CZ041,Karlovarský kraj,2018-2019,11609,58879.0,19.71670714516211
CZ041,Karlovarský kraj,2019-2020,12975,60178.0,21.561035594403272
CZ041,Karlovarský kraj,2020-2021,13617,60784.0,22.402276914977627
CZ041,Karlovarský kraj,2021-2022,15154,60220.0,25.16439721022916
CZ041,Karlovarský kraj,2022-2023,14888,61830.0,24.078926087659713
CZ041,Karlovarský kraj,2023-2024,15806,62847.0,25.14996738110013
CZ041,Karlovarský kraj,2024-2025,15329,63248.0,24.2363394889957
CZ063,Kraj Vysočina,2010-2011,14666,81858.0,17.9163918004349
CZ063,Kraj Vysočina,2011-2012,15095,84830.0,17.794412354120006
CZ063,Kraj Vysočina,2012-2013,15445,87711.0,17.608965808165454
CZ063,Kraj Vysočina,2013-2014,17541,90271.0,19.431489625682666
CZ063,Kraj Vysočina,2014-2015,17734,92924.0,19.08441306874435
CZ063,Kraj Vysočina,2015-2016,18766,95262.0,19.699355461779096
CZ063,Kraj Vysočina,2016-2017,20379,97958.0,20.80381387941771
CZ063,Kraj Vysočina,2017-2018,21328,100357.0,21.252129896270315
CZ063,Kraj Vysočina,2018-2019,23356,102513.0,22.783451854886696
CZ063,Kraj Vysočina,2019-2020,25015,104291.0,23.98577058423066
CZ063,Kraj Vysočina,2020-2021,25703,105748.0,24.30589703824186
CZ063,Kraj Vysočina,2021-2022,27702,107024.0,25.883913888473614
CZ063,Kraj Vysočina,2022-2023,27271,108999.0,25.01949559170268
CZ063,Kraj Vysočina,2023-2024,29060,110988.0,26.183010775939742
CZ063,Kraj Vysočina,2024-2025,28310,112286.0,25.212404039684376
CZ052,Královéhradecký kraj,2010-2011,10558,91422.0,11.548642558683905
CZ052,Královéhradecký kraj,2011-2012,11988,94861.0,12.637437935505636
CZ052,Královéhradecký kraj,2012-2013,13266,98571.0,13.458319383997322
CZ052,Královéhradecký kraj,2013-2014,15813,101699.0,15.54882545551087
CZ052,Královéhradecký kraj,2014-2015,16573,104773.0,15.81800654748838
CZ052,Královéhradecký kraj,2015-2016,18447,108048.0,17.072967569968903
CZ052,Královéhradecký kraj,2016-2017,19984,111172.0,17.975749289389416
CZ052,Královéhradecký kraj,2017-2018,21561,114219.0,18.87689438709847
CZ052,Královéhradecký kraj,2018-2019,24205,116666.0,20.74726141292236
CZ052,Královéhradecký kraj,2019-2020,26375,119407.0,22.08831978024739
CZ052,Královéhradecký kraj,2020-2021,27678,121170.0,22.842287694974004
CZ052,Královéhradecký kraj,2021-2022,30005,121639.0,24.66725310139018
CZ052,Královéhradecký kraj,2022-2023,29322,123759.0,23.69282234019344
CZ052,Královéhradecký kraj,2023-2024,31434,125014.0,25.14438382901115
CZ052,Královéhradecký kraj,2024-2025,30915,126020.0,24.53182034597683
CZ051,Liberecký kraj,2010-2011,10318,64392.0,16.02372965585787
CZ051,Liberecký kraj,2011-2012,11072,67587.0,16.38184858034829
CZ051,Liberecký kraj,2012-2013,12087,71209.0,16.973978008397815
CZ051,Liberecký kraj,2013-2014,14097,74387.0,18.950891956927958
CZ051,Liberecký kraj,2014-2015,14792,77318.0,19.13137949765902
CZ051,Liberecký kraj,2015-2016,15840,80343.0,19.715469922706397
CZ051,Liberecký kraj,2016-2017,16898,83317.0,20.28157518873699
CZ051,Liberecký kraj,2017-2018,17601,85885.0,20.49368341386738
CZ051,Liberecký kraj,2018-2019,19358,87998.0,21.998227232437102
CZ051,Liberecký kraj,2019-2020,21481,89906.0,23.89273240940538
CZ051,Liberecký kraj,2020-2021,22626,90819.0,24.913289069467844
CZ051,Liberecký kraj,2021-2022,23482,91467.0,25.672646965572284
CZ051,Liberecký kraj,2022-2023,23135,92987.0,24.87982191058965
CZ051,Liberecký kraj,2023-2024,24684,93953.0,26.272710823496855
CZ051,Liberecký kraj,2024-2025,24253,94452.0,25.67759285139542
CZ080,Moravskoslezský kraj,2010-2011,20995,188794.0,11.120586459315444
CZ080,Moravskoslezský kraj,2011-2012,23107,194295.0,11.89274042049461
CZ080,Moravskoslezský kraj,2012-2013,25025,201142.0,12.441459267582106
CZ080,Moravskoslezský kraj,2013-2014,29519,207466.0,14.228355489574195
CZ080,Moravskoslezský kraj,2014-2015,30629,213397.0,14.353060258579081
CZ080,Moravskoslezský kraj,2015-2016,32431,219100.0,14.801916932907346
CZ080,Moravskoslezský kraj,2016-2017,35240,225649.0,15.617175347553058
CZ080,Moravskoslezský kraj,2017-2018,38037,231077.0,16.460746850616896
CZ080,Moravskoslezský kraj,2018-2019,42158,236216.0,17.847224574118602
CZ080,Moravskoslezský kraj,2019-2020,46701,240829.0,19.391767602738874
CZ080,Moravskoslezský kraj,2020-2021,50677,243130.0,20.84358162300004
CZ080,Moravskoslezský kraj,2021-2022,52602,245406.0,21.434683748563604
CZ080,Moravskoslezský kraj,2022-2023,51708,249219.0,20.748016804497247
CZ080,Moravskoslezský kraj,2023-2024,54595,252944.0,21.583828831678158
CZ080,Moravskoslezský kraj,2024-2025,53209,255082.0,20.859566727562118
CZ071,Olomoucký kraj,2010-2011,15013,101279.0,14.823408603955409
CZ071,Olomoucký kraj,2011-2012,15672,104919.0,14.937237297343664
