Kraj_ID,Kraj_Název,sezona,pocet_vakcinovanych,demografie,proockovanost_procenta
CZ064,Jihomoravský kraj,2010-2011,35121,1154654.0,3.041690411153471
CZ064,Jihomoravský kraj,2011-2012,37146,1166313.0,3.1849083393565882
CZ064,Jihomoravský kraj,2012-2013,38387,1168650.0,3.284730244298977
CZ064,Jihomoravský kraj,2013-2014,45147,1170078.0,3.8584607180034154
CZ064,Jihomoravský kraj,2014-2015,44999,1172853.0,3.8367126997159917
CZ064,Jihomoravský kraj,2015-2016,46897,1175025.0,3.9911491244867134
CZ064,Jihomoravský kraj,2016-2017,50703,1178812.0,4.301194762184301
CZ064,Jihomoravský kraj,2017-2018,54920,1183207.0,4.641622302775423
CZ064,Jihomoravský kraj,2018-2019,58538,1187667.0,4.928822641363277
CZ064,Jihomoravský kraj,2019-2020,64575,1191989.0,5.417415764742795
CZ064,Jihomoravský kraj,2020-2021,69993,1195327.0,5.855552497350097
CZ064,Jihomoravský kraj,2021-2022,71235,1184568.0,6.013584699232125
CZ064,Jihomoravský kraj,2022-2023,71782,1217200.0,5.897305290831416
CZ064,Jihomoravský kraj,2023-2024,86023,1226749.0,7.012273904441741
CZ064,Jihomoravský kraj,2024-2025,85494,1229343.0,6.954446399418226
CZ031,Jihočeský kraj,2010-2011,17749,638706.0,2.778899838110179
CZ031,Jihočeský kraj,2011-2012,19380,636138.0,3.046508776397574
CZ031,Jihočeský kraj,2012-2013,20070,636611.0,3.1526316698894616
CZ031,Jihočeský kraj,2013-2014,22936,636707.0,3.602284881428978
CZ031,Jihočeský kraj,2014-2015,22943,637300.0,3.6000313823944765
CZ031,Jihočeský kraj,2015-2016,24218,637834.0,3.796912676338985
CZ031,Jihočeský kraj,2016-2017,25986,638782.0,4.068054516251241
CZ031,Jihočeský kraj,2017-2018,27403,640196.0,4.280407875088254
CZ031,Jihočeský kraj,2018-2019,30431,642133.0,4.739049386965006
CZ031,Jihočeský kraj,2019-2020,33173,644083.0,5.150423159748045
CZ031,Jihočeský kraj,2020-2021,35789,643551.0,5.561175415779013
CZ031,Jihočeský kraj,2021-2022,37935,637047.0,5.954819660087874
CZ031,Jihočeský kraj,2022-2023,39498,652303.0,6.055161481704055
CZ031,Jihočeský kraj,2023-2024,48285,654505.0,7.377330960038503
CZ031,Jihočeský kraj,2024-2025,46993,653227.0,7.193976978906261
CZ041,Karlovarský kraj,2010-2011,7326,307444.0,2.382872978493644
CZ041,Karlovarský kraj,2011-2012,7499,303165.0,2.4735704979136774
CZ041,Karlovarský kraj,2012-2013,7960,301726.0,2.638155147385376
CZ041,Karlovarský kraj,2013-2014,9306,300309.0,3.0988082275256486
CZ041,Karlovarský kraj,2014-2015,9541,299293.0,3.1878460237960793
CZ041,Karlovarský kraj,2015-2016,10441,297828.0,3.5057147078179347
CZ041,Karlovarský kraj,2016-2017,11458,296749.0,3.861175606320493
CZ041,Karlovarský kraj,2017-2018,12246,295686.0,4.14155556908342
CZ041,Karlovarský kraj,2018-2019,13687,294896.0,4.641297270902284
CZ041,Karlovarský kraj,2019-2020,15262,294664.0,5.179458637634729
CZ041,Karlovarský kraj,2020-2021,15870,293311.0,5.410639219122365
CZ041,Karlovarský kraj,2021-2022,17939,283210.0,6.334168991207938
CZ041,Karlovarský kraj,2022-2023,17871,293595.0,6.086956521739131
CZ041,Karlovarský kraj,2023-2024,20589,295077.0,6.97750078792993
CZ041,Karlovarský kraj,2024-2025,20244,293195.0,6.904619792288409
CZ063,Kraj Vysočina,2010-2011,18157,514569.0,3.5285841160271993
CZ063,Kraj Vysočina,2011-2012,18788,511937.0,3.669982829918525
CZ063,Kraj Vysočina,2012-2013,19078,511207.0,3.7319520272609727
CZ063,Kraj Vysočina,2013-2014,21780,510209.0,4.268838848393502
CZ063,Kraj Vysočina,2014-2015,22050,509895.0,4.324419733474539
CZ063,Kraj Vysočina,2015-2016,23225,509475.0,4.5586142597772215
CZ063,Kraj Vysočina,2016-2017,25101,508952.0,4.931899275373709
CZ063,Kraj Vysočina,2017-2018,26191,508916.0,5.146428880208129
CZ063,Kraj Vysočina,2018-2019,28285,509274.0,5.553984691934008
CZ063,Kraj Vysočina,2019-2020,30094,509813.0,5.902948728259185
CZ063,Kraj Vysočina,2020-2021,30893,508852.0,6.071116945595183
CZ063,Kraj Vysočina,2021-2022,33269,504025.0,6.6006646495709544
CZ063,Kraj Vysočina,2022-2023,32977,514777.0,6.406074863484577
CZ063,Kraj Vysočina,2023-2024,39147,517960.0,7.557919530465673
CZ063,Kraj Vysočina,2024-2025,38666,517647.0,7.469569030632845
CZ052,Královéhradecký kraj,2010-2011,13573,554803.0,2.4464539665430793
CZ052,Královéhradecký kraj,2011-2012,15041,553856.0,2.7156878322163163
CZ052,Královéhradecký kraj,2012-2013,16374,552946.0,2.961229487147027
CZ052,Královéhradecký kraj,2013-2014,19337,551909.0,3.503657305823967
CZ052,Královéhradecký kraj,2014-2015,20313,551590.0,3.682626588589351
CZ052,Královéhradecký kraj,2015-2016,21736,551421.0,3.9418157814083976
CZ052,Královéhradecký kraj,2016-2017,23825,550804.0,4.325495094443759
CZ052,Královéhradecký kraj,2017-2018,25401,551089.0,4.609237346417729
CZ052,Královéhradecký kraj,2018-2019,28307,551021.0,5.137190778572868
CZ052,Královéhradecký kraj,2019-2020,30350,551647.0,5.501706707369023
CZ052,Královéhradecký kraj,2020-2021,31953,550803.0,5.801166660312307
CZ052,Královéhradecký kraj,2021-2022,34447,542583.0,6.3487060965787725
CZ052,Královéhradecký kraj,2022-2023,34448,555267.0,6.203862286071385
CZ052,Královéhradecký kraj,2023-2024,41922,556949.0,7.527080576498027
CZ052,Královéhradecký kraj,2024-2025,41625,555923.0,7.487547735927458
CZ051,Liberecký kraj,2010-2011,12852,439942.0,2.9212941705952145
CZ051,Liberecký kraj,2011-2012,13635,438600.0,3.1087551299589604
CZ051,Liberecký kraj,2012-2013,14678,438594.0,3.3466030087050895
CZ051,Liberecký kraj,2013-2014,16651,438609.0,3.7963197289613304
CZ051,Liberecký kraj,2014-2015,17700,438851.0,4.033259580130841
CZ051,Liberecký kraj,2015-2016,18894,439639.0,4.297616908418043
CZ051,Liberecký kraj,2016-2017,20260,440636.0,4.597899399958242
CZ051,Liberecký kraj,2017-2018,20915,441300.0,4.739406299569454
CZ051,Liberecký kraj,2018-2019,22626,442356.0,5.1148848438813985
CZ051,Liberecký kraj,2019-2020,24836,443690.0,5.597601929274944
CZ051,Liberecký kraj,2020-2021,26311,442476.0,5.94631121235954
CZ051,Liberecký kraj,2021-2022,27330,437570.0,6.245857805608246
CZ051,Liberecký kraj,2022-2023,27190,449177.0,6.053293022572394
CZ051,Liberecký kraj,2023-2024,32513,450728.0,7.213441365967946
CZ051,Liberecký kraj,2024-2025,33203,449494.0,7.386750434933504
CZ080,Moravskoslezský kraj,2010-2011,26786,1243220.0,2.154566367979923
CZ080,Moravskoslezský kraj,2011-2012,28922,1230613.0,2.3502108298872186
CZ080,Moravskoslezský kraj,2012-2013,30714,1226602.0,2.503990699509702
CZ080,Moravskoslezský kraj,2013-2014,35867,1221832.0,2.9355099555421695
CZ080,Moravskoslezský kraj,2014-2015,36543,1217676.0,3.00104461285268
CZ080,Moravskoslezský kraj,2015-2016,38359,1213311.0,3.1615142366631472
CZ080,Moravskoslezský kraj,2016-2017,41566,1209879.0,3.4355501665869066
CZ080,Moravskoslezský kraj,2017-2018,44619,1205886.0,3.7001010045725717
