Kraj_ID,Kraj,Věková kategorie,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,ČR,Celá populace,116.0,130.0,43.0,44.0,39.0,98.0,123.0,29.0,27.0,51.0,19.0,55.0,15.0,55.0,53.0,94.0,74.0,85.0,57.0,188.0,39.0,128.0,120.0,155.0,309.0,230.0,135.0,16.0,154.0,251.0
,ČR,0–19,1.0,2.0,1.0,,,2.0,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,,2.0,3.0
,ČR,20–44,8.0,6.0,3.0,1.0,2.0,5.0,2.0,1.0,1.0,,1.0,,,4.0,4.0,21.0,4.0,6.0,1.0,9.0,,3.0,11.0,1.0,7.0,10.0,2.0,,5.0,5.0
,ČR,45–64,10.0,7.0,1.0,5.0,3.0,7.0,11.0,1.0,1.0,6.0,1.0,8.0,2.0,6.0,6.0,17.0,14.0,21.0,3.0,49.0,4.0,18.0,37.0,10.0,47.0,50.0,16.0,3.0,13.0,25.0
,ČR,65–74,16.0,21.0,7.0,6.0,6.0,11.0,12.0,5.0,4.0,3.0,2.0,7.0,3.0,7.0,4.0,6.0,10.0,14.0,7.0,39.0,3.0,17.0,22.0,30.0,75.0,62.0,39.0,2.0,25.0,37.0
,ČR,75–84,50.0,36.0,17.0,17.0,13.0,36.0,37.0,7.0,10.0,18.0,8.0,20.0,5.0,21.0,18.0,20.0,15.0,21.0,24.0,45.0,7.0,42.0,19.0,43.0,102.0,64.0,32.0,6.0,51.0,89.0
,ČR,85+,31.0,58.0,14.0,15.0,15.0,37.0,60.0,14.0,11.0,24.0,7.0,19.0,5.0,16.0,21.0,30.0,30.0,22.0,22.0,44.0,24.0,46.0,29.0,70.0,75.0,41.0,45.0,5.0,58.0,92.0
CZ010,Hlavní město Praha,Celá populace,4.0,10.0,5.0,,3.0,7.0,5.0,4.0,4.0,7.0,,2.0,,2.0,1.0,4.0,,8.0,2.0,23.0,1.0,8.0,13.0,9.0,30.0,22.0,13.0,1.0,29.0,31.0
CZ010,Hlavní město Praha,0–19,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
CZ010,Hlavní město Praha,20–44,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,2.0,,,,1.0,,1.0,4.0,,,,,,,1.0
CZ010,Hlavní město Praha,45–64,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,10.0,1.0,1.0,7.0,,3.0,8.0,,1.0,2.0,1.0
CZ010,Hlavní město Praha,65–74,,3.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,3.0,,5.0,,,2.0,1.0,6.0,6.0,4.0,,2.0,5.0
CZ010,Hlavní město Praha,75–84,1.0,3.0,3.0,,,4.0,,,2.0,3.0,,1.0,,1.0,,,,2.0,,4.0,,2.0,,1.0,8.0,4.0,3.0,,10.0,10.0
CZ010,Hlavní město Praha,85+,2.0,4.0,1.0,,,2.0,3.0,2.0,1.0,3.0,,,,,,,,2.0,2.0,3.0,,4.0,,7.0,12.0,4.0,6.0,,15.0,14.0
CZ031,Jihočeský kraj,Celá populace,6.0,6.0,3.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,,1.0,,2.0,2.0,10.0,6.0,5.0,8.0,20.0,1.0,20.0,15.0,2.0,30.0,22.0,22.0,,12.0,16.0
CZ031,Jihočeský kraj,0–19,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0
CZ031,Jihočeský kraj,20–44,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,3.0,,,,,,,
CZ031,Jihočeský kraj,45–64,,,,,1.0,,,,,,,1.0,,,,1.0,2.0,1.0,,6.0,,3.0,2.0,,5.0,2.0,1.0,,1.0,1.0
CZ031,Jihočeský kraj,65–74,2.0,2.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,1.0,,2.0,1.0,,,5.0,,2.0,4.0,,9.0,7.0,7.0,,2.0,2.0
CZ031,Jihočeský kraj,75–84,2.0,2.0,,1.0,3.0,2.0,3.0,,,1.0,,,,1.0,,1.0,2.0,1.0,4.0,4.0,,5.0,1.0,2.0,7.0,8.0,3.0,,5.0,7.0
CZ031,Jihočeský kraj,85+,2.0,2.0,3.0,,,1.0,1.0,1.0,,,,,,,2.0,5.0,1.0,3.0,4.0,3.0,1.0,9.0,5.0,,9.0,5.0,10.0,,4.0,5.0
CZ064,Jihomoravský kraj,Celá populace,23.0,12.0,2.0,4.0,4.0,10.0,5.0,1.0,2.0,5.0,2.0,5.0,2.0,10.0,10.0,6.0,5.0,7.0,7.0,24.0,4.0,5.0,7.0,17.0,24.0,17.0,13.0,1.0,10.0,35.0
CZ064,Jihomoravský kraj,0–19,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,
CZ064,Jihomoravský kraj,20–44,1.0,1.0,,,,,,,,,,,,1.0,,2.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,
CZ064,Jihomoravský kraj,45–64,3.0,1.0,,,,,1.0,,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,9.0,,,3.0,1.0,3.0,1.0,2.0,,,3.0
CZ064,Jihomoravský kraj,65–74,6.0,2.0,1.0,,2.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,2.0,2.0,,2.0,,1.0,3.0,5.0,3.0,,2.0,8.0
CZ064,Jihomoravský kraj,75–84,5.0,3.0,1.0,1.0,1.0,4.0,,,1.0,1.0,,1.0,1.0,3.0,4.0,2.0,2.0,5.0,4.0,6.0,,,1.0,7.0,9.0,4.0,3.0,1.0,5.0,13.0
CZ064,Jihomoravský kraj,85+,8.0,4.0,,3.0,1.0,6.0,3.0,1.0,1.0,3.0,1.0,1.0,,3.0,5.0,1.0,2.0,,1.0,6.0,3.0,3.0,2.0,8.0,7.0,5.0,4.0,,3.0,11.0
CZ041,Karlovarský kraj,Celá populace,3.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,3.0,1.0,6.0,,3.0,1.0,4.0,9.0,12.0,3.0,,,2.0
CZ041,Karlovarský kraj,20–44,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,
